Sector,SectorShort,Total,CountOfDonations,
Agribusiness,Ag,228212,42,
Communications/Electronics,CommElec,4256063,300,
Construction,Constr,648967,81,
Defense,Defense,129245,28,
Energy & Natural Resources,Energy,598610,90,
"Finance, Insurance & Real Estate",Finance,9132120,748,
Health,Health,1653460,326,
Ideological/Single-Issue,Ideol,281919,98,
Labor,Labor,25876,15,
Lawyers & Lobbyists,LawLobby,4677543,1149,
Misc Business,Misc Bus,5103156,736,
Other,Other,3483384,863,
Transportation,Transport,250841,41,
