type,cycle,total,indexp,eleccomm,commcost,demfor,demagnst,repubfor,repubagnst,type_amount
indexp,1990,7213219,5650524,0,1562695,2496935,694364,3109308,867203,5650524
indexp,1992,19635123,10947342,0,8687781,8785053,1456731,8372777,927304,10947342
indexp,1994,9538844,5219215,0,4319629,2849873,1139307,4888094,614463,5219215
indexp,1996,17884043,10167742,0,7716301,6669119,1210676,6238743,3643821,10167742
indexp,1998,15191107,10266937,0,4924170,6071136,396106,7128879,1591813,10266937
indexp,2000,51638411,33778636,0,17859775,25015992,1492988,18001514,6558918,33778636
indexp,2002,27686417,16747650,0,10938767,17766060,467545,7694896,1752976,16747650
indexp,2004,193129472,63885795,98898197,30345480,60063207,4155900,22545608,7401923,63885795
indexp,2006,69534653,37801719,15436132,16296802,21485182,1585021,14855283,15391314,37801719
indexp,2008,338441092,143659191,131137181,63644720,120832945,33570233,20382064,32446156,143659191
indexp,2010,309834180,205519230,79291379,25023571,51661097,83040161,39599983,44489738,205519230
indexp,2012,1038736997,1002135419,15437830,21230660,73333480,454601541,175122392,294832515,1002135419
indexp,2014,562720738,549380760,8292848,5047130,49099379,138945388,100906744,188473279,549380760
indexp,2016,1465369669,1455113590,1415227,8840852,137835035,390951891,392571047,507326871,1455113590
commcost,1990,7213219,5650524,0,1562695,2496935,694364,3109308,867203,1562695
commcost,1992,19635123,10947342,0,8687781,8785053,1456731,8372777,927304,8687781
commcost,1994,9538844,5219215,0,4319629,2849873,1139307,4888094,614463,4319629
commcost,1996,17884043,10167742,0,7716301,6669119,1210676,6238743,3643821,7716301
commcost,1998,15191107,10266937,0,4924170,6071136,396106,7128879,1591813,4924170
commcost,2000,51638411,33778636,0,17859775,25015992,1492988,18001514,6558918,17859775
commcost,2002,27686417,16747650,0,10938767,17766060,467545,7694896,1752976,10938767
commcost,2004,193129472,63885795,98898197,30345480,60063207,4155900,22545608,7401923,30345480
commcost,2006,69534653,37801719,15436132,16296802,21485182,1585021,14855283,15391314,16296802
commcost,2008,338441092,143659191,131137181,63644720,120832945,33570233,20382064,32446156,63644720
commcost,2010,309834180,205519230,79291379,25023571,51661097,83040161,39599983,44489738,25023571
commcost,2012,1038736997,1002135419,15437830,21230660,73333480,454601541,175122392,294832515,21230660
commcost,2014,562720738,549380760,8292848,5047130,49099379,138945388,100906744,188473279,5047130
commcost,2016,1465369669,1455113590,1415227,8840852,137835035,390951891,392571047,507326871,8840852
eleccomm,1990,7213219,5650524,0,1562695,2496935,694364,3109308,867203,0
eleccomm,1992,19635123,10947342,0,8687781,8785053,1456731,8372777,927304,0
eleccomm,1994,9538844,5219215,0,4319629,2849873,1139307,4888094,614463,0
eleccomm,1996,17884043,10167742,0,7716301,6669119,1210676,6238743,3643821,0
eleccomm,1998,15191107,10266937,0,4924170,6071136,396106,7128879,1591813,0
eleccomm,2000,51638411,33778636,0,17859775,25015992,1492988,18001514,6558918,0
eleccomm,2002,27686417,16747650,0,10938767,17766060,467545,7694896,1752976,0
eleccomm,2004,193129472,63885795,98898197,30345480,60063207,4155900,22545608,7401923,98898197
eleccomm,2006,69534653,37801719,15436132,16296802,21485182,1585021,14855283,15391314,15436132
eleccomm,2008,338441092,143659191,131137181,63644720,120832945,33570233,20382064,32446156,131137181
eleccomm,2010,309834180,205519230,79291379,25023571,51661097,83040161,39599983,44489738,79291379
eleccomm,2012,1038736997,1002135419,15437830,21230660,73333480,454601541,175122392,294832515,15437830
eleccomm,2014,562720738,549380760,8292848,5047130,49099379,138945388,100906744,188473279,8292848
eleccomm,2016,1465369669,1455113590,1415227,8840852,137835035,390951891,392571047,507326871,1415227
